InputSize,ExecutionTime_ms,RecursionCount,ComparisonCount
100,0.101,199,542
1000,1.641,1999,8709
5000,10.03,9999,55215
10000,21.447,19999,120474
20000,45.471,39999,260909
50000,122.169,99999,718206
100000,260.14,199999,1536275
100,0.1,199,542
500,0.72,999,3854
1000,1.616,1999,8700
2500,4.556,4999,25116
5000,9.816,9999,55230
7500,15.228,14999,87145
10000,20.621,19999,120440
15000,31.91,29999,189306
20000,44.351,39999,260920
30000,67.827,59999,408610
50000,119.732,99999,718185
75000,185.778,149999,1121162
100000,253.707,199999,1536391
150000,391.812,299999,2392288
200000,533.815,399999,3272693
250000,693.862,499999,4168598
