InputSize,ExecutionTime_ms,ExecutionTime_ms_stddev,RecursionCount,RecursionCount_stddev,ComparisonCount,ComparisonCount_stddev
150000,388.638,5.705,299999,0.0,2392297,274.1
250000,673.421,5.236,499999,0.0,4168503,196.3
500000,1490.088,30.877,999999,0.0,8837157,433.0
750000,2356.254,78.448,1499999,0.0,13705211,531.0
1000000,3414.02,376.961,1999999,0.0,18674188,797.7
100000,255.181,2.279,199999,0.0,1536337,139.8
100000,251.701,3.751,199999,0.0,1536376,241.1
200000,526.874,10.447,399999,0.0,3272668,309.6
300000,824.01,9.261,599999,0.0,5084515,226.3
400000,1119.638,10.258,799999,0.0,6945533,417.3
500000,1442.601,13.704,999999,0.0,8836907,389.5
600000,1775.44,27.027,1199999,0.0,10769094,526.5
700000,2105.027,17.198,1399999,0.0,12723223,539.8
800000,2465.538,24.664,1599999,0.0,14690948,716.2
900000,2824.88,25.588,1799999,0.0,16678684,354.1
1000000,3158.57,65.979,1999999,0.0,18674210,624.5
